Customer,Age,Gender,Frequency of Purchases,Purchase Amount (USD),Category,Review Rating,Item Purchased,Subscription Status
1,27,Male,frequent,18249,Books,6,Blouse,Yes
2,29,Male,rare,4557,Clothing,6,Sweater,Yes
3,37,Male,rare,11822,Clothing,6,Jeans,Yes
4,30,Male,frequent,4098,Food,7,Sandals,Yes
5,31,Female,occasional,19685,Clothing,5,Blouse,Yes
6,38,Male,occasional,2822,Electronics,5,Sneakers,Yes
7,32,Female,frequent,3293,Clothing,7,Shirt,Yes
8,24,Female,rare,21794,Books,5,Shorts,Yes
9,27,Male,occasional,5819,Clothing,5,Coat,Yes
10,28,Female,rare,8779,Food,6,Handbag,Yes
11,35,Male,rare,16158,Home,6,Shoes,Yes
12,32,Female,rare,13608,Electronics,5,Shorts,Yes
13,32,Male,occasional,2450,Clothing,5,Coat,Yes
14,30,Female,occasional,5579,Books,5,Dress,Yes
15,28,Male,rare,12901,Books,3,Coat,Yes
16,38,Female,rare,9644,Clothing,7,Skirt,Yes
17,32,Male,rare,21329,Clothing,5,Sunglasses,Yes
18,21,Female,rare,7612,Food,3,Dress,Yes
19,33,Female,rare,3129,Clothing,6,Sweater,Yes
20,28,Male,rare,12764,Electronics,6,Pants,Yes
21,25,Female,occasional,17638,Beauty,5,Pants,Yes
22,29,Male,occasional,12838,Clothing,5,Pants,Yes
23,25,Female,rare,3264,Food,5,Pants,Yes
24,27,Female,frequent,12633,Electronics,4,Pants,Yes
25,27,Male,rare,11869,Food,5,Jacket,Yes
26,22,Female,frequent,2188,Electronics,6,Hoodie,Yes
27,34,Male,occasional,11944,Food,6,Jewelry,Yes
28,31,Female,occasional,12137,Clothing,6,Shorts,Yes
29,25,Female,frequent,15844,Electronics,5,Handbag,Yes
30,36,Male,frequent,15289,Electronics,4,Dress,Yes
31,32,Female,occasional,2080,Food,6,Jewelry,Yes
32,29,Male,rare,11833,Clothing,4,Dress,Yes
33,34,Male,occasional,4155,Beauty,5,Jacket,Yes
34,34,Female,rare,4475,Clothing,6,Pants,Yes
35,34,Male,rare,5888,Electronics,6,T-shirt,Yes
36,33,Male,rare,14083,Electronics,5,Blouse,Yes
37,32,Male,frequent,16783,Electronics,6,T-shirt,Yes
38,30,Male,rare,17967,Health,5,Jeans,Yes
39,29,Female,rare,9505,Home,4,Dress,Yes
40,28,Female,rare,17595,Electronics,6,Pants,Yes
41,27,Male,rare,12690,Electronics,5,Handbag,Yes
42,29,Female,occasional,1693,Electronics,5,Scarf,Yes
43,24,Male,rare,4842,Clothing,5,Coat,Yes
44,40,Male,rare,5347,Food,3,Scarf,Yes
45,35,Female,frequent,11293,Books,6,Hat,Yes
46,25,Male,frequent,16596,Clothing,6,Socks,Yes
47,28,Male,occasional,2394,Electronics,6,Shirt,Yes
48,28,Male,occasional,16856,Clothing,6,Jewelry,Yes
49,33,Female,rare,5197,Food,5,Shirt,Yes
50,30,Male,occasional,12967,Electronics,6,Hoodie,Yes
51,31,Female,frequent,12114,Electronics,5,Blouse,Yes
52,30,Male,rare,8649,Clothing,4,Skirt,Yes
53,30,Male,rare,3079,Health,5,T-shirt,Yes
54,36,Female,occasional,7587,Food,6,Skirt,Yes
55,29,Female,occasional,6884,Clothing,4,Coat,Yes
56,37,Female,occasional,1987,Electronics,7,Jacket,Yes
57,23,Male,occasional,18416,Electronics,5,Backpack,Yes
58,33,Male,occasional,20515,Electronics,2,Coat,Yes
59,31,Female,frequent,3895,Food,3,Hoodie,Yes
60,31,Female,rare,5046,Electronics,6,Belt,Yes
61,32,Male,rare,2908,Electronics,4,Sweater,Yes
62,28,Female,occasional,8066,Books,3,Scarf,Yes
63,29,Female,occasional,13341,Books,6,Sneakers,Yes
64,25,Female,rare,6020,Home,5,Sunglasses,Yes
65,25,Female,rare,2301,Food,5,Boots,Yes
66,31,Female,occasional,3708,Electronics,4,Backpack,Yes
67,32,Female,occasional,12038,Clothing,6,Blouse,Yes
68,30,Male,occasional,8146,Clothing,6,Coat,Yes
69,34,Male,frequent,13002,Books,5,Handbag,Yes
70,39,Female,occasional,6617,Books,4,Belt,Yes
71,28,Male,occasional,8973,Food,4,Belt,Yes
72,20,Female,rare,20296,Health,3,Dress,Yes
73,34,Female,frequent,5486,Electronics,6,Dress,Yes
74,27,Male,rare,10110,Electronics,5,Pants,Yes
75,27,Male,occasional,11083,Electronics,5,Gloves,Yes
76,35,Female,rare,2939,Electronics,5,Scarf,Yes
77,29,Male,frequent,4059,Electronics,3,Hat,Yes
78,25,Female,rare,2916,Clothing,5,Dress,Yes
79,31,Female,rare,9814,Home,5,Skirt,Yes
80,29,Female,occasional,9535,Food,4,Jacket,Yes
81,30,Female,rare,9536,Home,3,Sandals,Yes
82,32,Male,rare,2236,Health,5,Shoes,Yes
83,28,Female,rare,3542,Electronics,5,Pants,Yes
84,33,Female,occasional,18843,Clothing,5,Dress,Yes
85,29,Female,occasional,12915,Clothing,5,Coat,Yes
86,31,Male,rare,2101,Clothing,7,Sunglasses,Yes
87,35,Female,rare,5398,Electronics,5,Hoodie,Yes
88,32,Male,occasional,9408,Health,4,Shoes,Yes
89,29,Female,rare,13186,Clothing,3,T-shirt,Yes
90,35,Male,frequent,11223,Electronics,3,Jacket,Yes
91,34,Female,rare,6960,Food,7,Hat,Yes
92,32,Male,rare,11462,Clothing,6,Scarf,Yes
93,31,Female,rare,6759,Electronics,6,Jacket,Yes
94,27,Female,rare,9433,Electronics,6,Sweater,Yes
95,36,Female,occasional,2115,Electronics,6,Skirt,Yes
96,27,Female,frequent,2441,Electronics,6,Sneakers,Yes
97,40,Male,rare,10354,Food,6,Gloves,Yes
98,37,Male,occasional,2387,Clothing,6,Shoes,Yes
99,29,Male,rare,1676,Clothing,4,Jeans,Yes
100,25,Male,rare,1728,Clothing,6,Hoodie,Yes
101,27,Male,occasional,10705,Books,7,Sunglasses,Yes
102,31,Male,occasional,15266,Clothing,4,Coat,Yes
103,29,Female,rare,5272,Clothing,6,Socks,Yes
104,28,Male,rare,1568,Electronics,4,Boots,Yes
105,26,Male,occasional,10044,Health,5,Sunglasses,Yes
106,30,Male,occasional,1984,Health,4,Backpack,Yes
107,26,Female,occasional,3001,Books,5,Jacket,Yes
108,23,Male,rare,11216,Food,3,Sneakers,Yes
109,28,Male,occasional,9438,Books,6,Socks,Yes
110,34,Male,rare,15534,Books,5,T-shirt,Yes
111,27,Male,frequent,18507,Health,4,Backpack,Yes
112,33,Male,rare,8568,Books,5,Belt,Yes
113,23,Male,rare,9744,Books,5,Gloves,Yes
114,30,Female,rare,4762,Electronics,5,Hat,Yes
115,32,Female,occasional,4289,Books,6,Coat,Yes
116,31,Female,rare,19903,Electronics,5,Skirt,Yes
117,30,Female,occasional,9083,Electronics,5,Shoes,Yes
118,27,Female,frequent,10879,Electronics,5,Sandals,Yes
119,26,Male,rare,4327,Books,4,Sweater,Yes
120,25,Female,rare,8860,Books,6,Coat,Yes
121,31,Female,frequent,10755,Health,5,Hat,Yes
122,26,Male,frequent,6518,Clothing,5,Shorts,Yes
123,28,Female,frequent,10395,Health,5,Backpack,Yes
124,29,Female,occasional,1888,Books,4,Sweater,Yes
125,38,Female,frequent,20447,Electronics,5,Sweater,Yes
126,27,Female,occasional,7882,Clothing,4,Shorts,Yes
127,31,Male,rare,17394,Clothing,7,Shorts,Yes
128,30,Male,frequent,13669,Home,6,Sweater,Yes
129,26,Female,rare,3227,Clothing,4,Scarf,Yes
130,30,Male,occasional,9690,Books,7,Dress,Yes
131,36,Male,rare,7785,Electronics,6,Scarf,Yes
132,32,Female,rare,11395,Health,5,Skirt,Yes
133,30,Female,rare,10343,Food,5,Backpack,Yes
134,28,Male,rare,13781,Electronics,4,Sweater,Yes
135,21,Male,frequent,11408,Electronics,4,Hat,Yes
136,35,Male,occasional,9936,Books,6,Sandals,Yes
137,23,Male,frequent,9547,Books,4,Blouse,Yes
138,33,Female,rare,10766,Beauty,4,Sneakers,Yes
139,39,Female,rare,17373,Beauty,6,Skirt,Yes
140,24,Female,occasional,15874,Clothing,6,Coat,Yes
141,33,Male,occasional,6098,Electronics,5,Shirt,Yes
142,29,Female,rare,13441,Clothing,6,Gloves,Yes
143,23,Male,rare,18931,Books,4,Jacket,Yes
144,23,Female,frequent,13086,Health,5,Coat,Yes
145,23,Female,rare,11515,Electronics,4,Shoes,Yes
146,28,Male,rare,13114,Food,4,Jewelry,Yes
147,23,Male,occasional,19674,Food,7,Skirt,Yes
148,33,Female,occasional,12844,Electronics,5,Shoes,Yes
149,39,Female,frequent,6937,Electronics,5,Gloves,Yes
150,24,Male,frequent,3085,Electronics,4,Pants,Yes
151,34,Female,frequent,10573,Clothing,5,Boots,Yes
152,33,Male,occasional,9307,Clothing,6,Sunglasses,Yes
153,31,Male,frequent,3330,Health,5,Shirt,Yes
154,25,Male,frequent,14639,Electronics,4,Hoodie,Yes
155,29,Male,rare,10921,Electronics,6,Dress,Yes
156,29,Male,rare,3966,Electronics,4,Socks,Yes
157,33,Male,rare,11283,Clothing,7,Shorts,Yes
158,28,Male,rare,16513,Home,5,Hat,Yes
159,34,Female,occasional,12462,Home,7,Shirt,Yes
160,28,Female,rare,4345,Electronics,5,Gloves,Yes
161,35,Female,frequent,11767,Health,3,Gloves,Yes
162,25,Male,rare,7435,Books,2,Backpack,Yes
163,24,Female,occasional,6986,Health,4,Sunglasses,Yes
164,44,Female,occasional,18143,Books,4,Skirt,Yes
165,28,Female,rare,2659,Electronics,6,Handbag,Yes
166,31,Male,occasional,4785,Food,5,Handbag,Yes
167,33,Female,rare,13142,Beauty,6,Sneakers,Yes
168,28,Male,occasional,16278,Food,6,Gloves,Yes
169,32,Male,occasional,12272,Books,4,Shoes,Yes
170,32,Male,rare,5900,Clothing,5,Jacket,Yes
171,29,Female,rare,13751,Clothing,5,Shirt,Yes
172,30,Male,occasional,14141,Books,4,Shorts,Yes
173,30,Male,rare,15514,Electronics,4,Jewelry,Yes
174,40,Male,frequent,3995,Electronics,6,Hat,Yes
175,27,Female,frequent,12657,Electronics,4,Shoes,Yes
176,25,Male,rare,2110,Health,4,Coat,Yes
177,30,Female,occasional,19672,Electronics,4,Backpack,Yes
178,31,Female,occasional,12097,Clothing,6,Hoodie,Yes
179,32,Female,rare,7104,Clothing,5,Skirt,Yes
180,28,Male,rare,13374,Food,5,Boots,Yes
181,25,Male,occasional,9764,Clothing,3,Sandals,Yes
182,36,Female,rare,18203,Electronics,6,Pants,Yes
183,28,Male,rare,3110,Clothing,5,Gloves,Yes
184,26,Female,rare,6691,Electronics,6,Skirt,Yes
185,29,Female,rare,10566,Electronics,4,Sneakers,Yes
186,29,Male,rare,8423,Books,3,T-shirt,Yes
187,35,Male,occasional,3337,Food,5,Backpack,Yes
188,30,Female,rare,10313,Health,6,Shoes,Yes
189,33,Female,rare,10525,Books,5,Hoodie,Yes
190,28,Male,occasional,10428,Clothing,5,Blouse,Yes
191,31,Female,occasional,8916,Clothing,4,Coat,Yes
192,29,Male,rare,7561,Electronics,4,Hat,Yes
193,30,Female,rare,2841,Electronics,3,Shoes,Yes
194,26,Male,occasional,3073,Books,5,Belt,Yes
195,24,Male,frequent,11964,Electronics,6,Backpack,Yes
196,39,Female,rare,17092,Books,3,Jacket,Yes
197,33,Female,rare,6493,Books,4,Boots,Yes
198,24,Female,rare,4259,Clothing,3,Scarf,Yes
199,27,Female,rare,11418,Electronics,4,Jewelry,Yes
200,25,Female,rare,15823,Clothing,4,Hat,Yes
201,40,Female,rare,11286,Beauty,4,Dress,Yes
202,36,Female,occasional,8343,Electronics,6,Blouse,Yes
203,29,Female,occasional,4654,Beauty,4,Hat,Yes
204,32,Male,occasional,8609,Books,6,Scarf,Yes
205,28,Male,rare,3600,Clothing,5,Sneakers,Yes
