Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Review Rating,Subscription Status,Frequency of Purchases
1,55,Male,Blouse,Clothing,53,3.1,Yes,Fortnightly
2,19,Male,Sweater,Clothing,64,3.1,Yes,Fortnightly
3,50,Male,Jeans,Clothing,73,3.1,Yes,Weekly
4,21,Male,Sandals,Footwear,90,3.5,Yes,Weekly
5,45,Male,Blouse,Clothing,49,2.7,Yes,Annually
6,46,Male,Sneakers,Footwear,20,2.9,Yes,Weekly
7,63,Male,Shirt,Clothing,85,3.2,Yes,Quarterly
8,27,Male,Shorts,Clothing,34,3.2,Yes,Weekly
9,26,Male,Coat,Outerwear,97,2.6,Yes,Annually
10,57,Male,Handbag,Accessories,31,4.8,Yes,Quarterly
11,53,Male,Shoes,Footwear,34,4.1,Yes,Bi-Weekly
12,30,Male,Shorts,Clothing,68,4.9,Yes,Fortnightly
13,61,Male,Coat,Outerwear,72,4.5,Yes,Fortnightly
14,65,Male,Dress,Clothing,51,4.7,Yes,Weekly
15,64,Male,Coat,Outerwear,53,4.7,Yes,Weekly
16,64,Male,Skirt,Clothing,81,2.8,Yes,Monthly
17,25,Male,Sunglasses,Accessories,36,4.1,Yes,Bi-Weekly
18,53,Male,Dress,Clothing,38,4.7,Yes,Quarterly
19,52,Male,Sweater,Clothing,48,4.6,Yes,Weekly
20,66,Male,Pants,Clothing,90,3.3,Yes,Bi-Weekly
21,21,Male,Pants,Clothing,51,2.8,Yes,Every 3 Months
22,31,Male,Pants,Clothing,62,4.1,Yes,Quarterly
23,56,Male,Pants,Clothing,37,3.2,Yes,Annually
24,31,Male,Pants,Clothing,88,4.4,Yes,Weekly
25,18,Male,Jacket,Outerwear,22,2.9,Yes,Weekly
26,18,Male,Hoodie,Clothing,25,3.6,Yes,Annually
27,38,Male,Jewelry,Accessories,20,3.6,Yes,Annually
28,56,Male,Shorts,Clothing,56,5,Yes,Every 3 Months
29,54,Male,Handbag,Accessories,94,4.4,Yes,Every 3 Months
30,31,Male,Dress,Clothing,48,4.1,Yes,Weekly
31,57,Male,Jewelry,Accessories,31,4.7,Yes,Monthly
32,33,Male,Dress,Clothing,79,4.7,Yes,Monthly
33,36,Male,Jacket,Outerwear,67,4.9,Yes,Annually
34,54,Male,Pants,Clothing,38,3.3,Yes,Quarterly
35,36,Male,T-shirt,Clothing,91,4.6,Yes,Quarterly
36,54,Male,Blouse,Clothing,33,4,Yes,Bi-Weekly
37,35,Male,T-shirt,Clothing,69,4.6,Yes,Fortnightly
38,35,Male,Jeans,Clothing,45,2.8,Yes,Weekly
39,29,Male,Dress,Clothing,37,3.7,Yes,Every 3 Months
40,70,Male,Pants,Clothing,60,4.2,Yes,Monthly
41,69,Male,Handbag,Accessories,76,4.6,Yes,Quarterly
42,67,Male,Scarf,Accessories,39,4.5,Yes,Annually
43,20,Male,Coat,Outerwear,100,4.1,Yes,Annually
44,25,Male,Scarf,Accessories,69,3.7,Yes,Fortnightly
45,39,Male,Hat,Accessories,53,4.6,Yes,Weekly
46,50,Male,Socks,Clothing,21,2.9,Yes,Annually
47,57,Male,Shirt,Clothing,43,2.9,Yes,Quarterly
48,55,Male,Jewelry,Accessories,54,4.5,Yes,Weekly
49,42,Male,Shirt,Clothing,55,2.7,Yes,Monthly
50,68,Male,Hoodie,Clothing,30,4.6,Yes,Bi-Weekly
51,49,Male,Blouse,Clothing,28,3.7,Yes,Bi-Weekly
52,59,Male,Skirt,Clothing,59,4.7,Yes,Quarterly
53,42,Male,T-shirt,Clothing,20,2.6,Yes,Weekly
54,29,Male,Skirt,Clothing,24,3.9,Yes,Weekly
55,47,Male,Coat,Outerwear,94,4.2,Yes,Bi-Weekly
56,40,Male,Jacket,Outerwear,28,3,Yes,Annually
57,41,Male,Backpack,Accessories,73,4.7,Yes,Weekly
58,21,Male,Coat,Outerwear,64,4.4,Yes,Fortnightly
59,69,Male,Hoodie,Clothing,54,4.2,Yes,Monthly
60,63,Male,Belt,Accessories,79,4.6,Yes,Weekly
61,50,Male,Sweater,Clothing,37,4,Yes,Weekly
62,55,Male,Scarf,Accessories,68,4.7,Yes,Every 3 Months
63,30,Male,Sneakers,Footwear,21,3.8,Yes,Fortnightly
64,33,Male,Sunglasses,Accessories,79,2.7,Yes,Weekly
65,65,Male,Boots,Footwear,83,4.8,Yes,Fortnightly
66,65,Male,Backpack,Accessories,36,4.8,Yes,Every 3 Months
67,31,Male,Blouse,Clothing,94,4.7,Yes,Every 3 Months
68,45,Male,Coat,Outerwear,33,4.4,Yes,Monthly
69,57,Male,Handbag,Accessories,46,3.9,Yes,Every 3 Months
70,48,Male,Belt,Accessories,70,4.4,Yes,Weekly
71,22,Male,Belt,Accessories,29,4.2,Yes,Every 3 Months
72,36,Male,Dress,Clothing,48,2.9,Yes,Annually
73,18,Male,Dress,Clothing,26,2.9,Yes,Every 3 Months
74,48,Male,Pants,Clothing,85,2.7,Yes,Bi-Weekly
75,49,Male,Gloves,Accessories,58,4.5,Yes,Monthly
76,64,Male,Scarf,Accessories,85,2.7,Yes,Annually
77,50,Male,Hat,Accessories,43,4.2,Yes,Monthly
78,22,Male,Dress,Clothing,53,3.3,Yes,Fortnightly
79,50,Male,Skirt,Clothing,91,4.7,Yes,Fortnightly
80,38,Male,Jacket,Outerwear,96,2.6,Yes,Every 3 Months
81,19,Male,Sandals,Footwear,72,3.3,Yes,Every 3 Months
82,67,Male,Shoes,Footwear,96,2.6,Yes,Every 3 Months
83,19,Male,Pants,Clothing,28,4,Yes,Every 3 Months
84,36,Male,Dress,Clothing,40,4.1,Yes,Weekly
85,52,Male,Coat,Outerwear,32,4.4,Yes,Every 3 Months
86,53,Male,Sunglasses,Accessories,95,4.5,Yes,Bi-Weekly
87,24,Male,Hoodie,Clothing,41,3.7,Yes,Bi-Weekly
88,52,Male,Shoes,Footwear,53,3.7,Yes,Fortnightly
89,33,Male,T-shirt,Clothing,47,3.5,Yes,Monthly
90,47,Male,Jacket,Outerwear,83,3.6,Yes,Quarterly
91,25,Male,Hat,Accessories,48,2.9,Yes,Monthly
92,44,Male,Scarf,Accessories,99,4.6,Yes,Every 3 Months
93,61,Male,Jacket,Outerwear,87,4.4,Yes,Every 3 Months
94,37,Male,Sweater,Clothing,62,4.5,Yes,Weekly
95,58,Male,Skirt,Clothing,76,4.6,Yes,Weekly
96,37,Male,Sneakers,Footwear,100,3.8,Yes,Monthly
97,32,Male,Gloves,Accessories,73,3.6,Yes,Every 3 Months
98,21,Male,Shoes,Footwear,92,4.8,Yes,Annually
99,20,Male,Jeans,Clothing,67,2.6,Yes,Annually
100,26,Male,Hoodie,Clothing,40,3.7,Yes,Quarterly
101,62,Male,Sunglasses,Accessories,98,2.7,Yes,Fortnightly
102,27,Male,Coat,Outerwear,85,4.6,Yes,Bi-Weekly
103,51,Male,Socks,Clothing,67,4.8,Yes,Quarterly
104,54,Male,Boots,Footwear,89,4,Yes,Bi-Weekly
105,55,Male,Sunglasses,Accessories,24,4.4,Yes,Monthly
106,69,Male,Backpack,Accessories,96,3.6,Yes,Annually
107,64,Male,Jacket,Outerwear,35,3.7,Yes,Monthly
108,28,Male,Sneakers,Footwear,67,3.1,Yes,Fortnightly
109,70,Male,Socks,Clothing,79,3.4,Yes,Bi-Weekly
110,58,Male,T-shirt,Clothing,85,2.6,Yes,Fortnightly
111,56,Male,Backpack,Accessories,26,4,Yes,Fortnightly
112,26,Male,Belt,Accessories,75,5,Yes,Annually
113,37,Male,Gloves,Accessories,65,4.3,Yes,Bi-Weekly
114,44,Male,Hat,Accessories,54,3.1,Yes,Quarterly
115,70,Male,Coat,Outerwear,95,3.7,Yes,Weekly
